GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projet2-e,citadelles,Hand,0,99,0,6,0,30,0,13,0,10
projet2-e,citadelles,LogManager,709,460,13,31,98,82,25,33,17,19
projet2-e,citadelles,GameView,67,146,9,9,13,37,7,19,2,15
projet2-e,citadelles,BotView,4,93,0,0,1,21,1,8,1,8
projet2-e,citadelles,Citadelles,158,258,13,31,46,60,16,26,9,11
projet2-e,citadelles,Main,109,0,14,0,26,0,12,0,5,0
projet2-e,citadelles.characters,Merchant,26,12,1,1,6,5,2,2,1,2
projet2-e,citadelles.characters,Assassin,14,4,0,0,4,2,1,1,1,1
projet2-e,citadelles.characters,CharacterEnum,0,84,0,0,0,15,0,4,0,4
projet2-e,citadelles.characters,Character,12,42,0,0,6,16,5,8,5,8
projet2-e,citadelles.characters,Bishop,0,12,1,1,0,5,1,2,0,2
projet2-e,citadelles.characters,CharacterManager,0,230,0,10,0,49,0,14,0,9
projet2-e,citadelles.characters,Architect,5,20,1,1,1,8,1,3,0,3
projet2-e,citadelles.characters,King,9,12,1,1,3,5,2,2,1,2
projet2-e,citadelles.characters,Thief,18,4,2,0,5,2,2,1,1,1
projet2-e,citadelles.characters,Magician,50,4,4,0,12,2,3,1,1,1
projet2-e,citadelles.characters,Warlord,16,12,3,1,5,5,3,2,1,2
projet2-e,citadelles.districts,Graveyard,0,6,0,0,0,2,0,1,0,1
projet2-e,citadelles.districts,University,0,8,0,0,0,3,0,2,0,2
projet2-e,citadelles.districts,MiracleCourtyard,0,6,0,0,0,2,0,1,0,1
projet2-e,citadelles.districts,Observatory,0,6,0,0,0,2,0,1,0,1
projet2-e,citadelles.districts,Laboratory,17,6,2,0,5,2,2,1,1,1
projet2-e,citadelles.districts,CategoryEnum,0,60,0,0,0,12,0,4,0,4
projet2-e,citadelles.districts,DragonGate,0,8,0,0,0,3,0,2,0,2
projet2-e,citadelles.districts,DistrictManager,2,139,1,1,1,29,1,7,0,7
projet2-e,citadelles.districts,CSVReader,3,68,0,4,2,16,0,5,0,3
projet2-e,citadelles.districts,District,1,52,0,0,1,20,1,11,1,11
projet2-e,citadelles.districts,Library,0,6,0,0,0,2,0,1,0,1
projet2-e,citadelles.districts,Factory,13,6,2,0,4,2,2,1,1,1
projet2-e,citadelles.districts,SchoolOfMagic,9,6,0,0,3,2,1,1,1,1
projet2-e,citadelles.districts,Keep,0,10,0,0,0,3,0,1,0,1
projet2-e,citadelles.bots,Bot,155,908,23,88,45,208,33,97,13,60
projet2-e,citadelles.bots,Referee,132,803,18,56,21,157,13,52,0,28
projet2-e,citadelles.bots,SmartBot,87,550,38,108,18,108,32,60,1,18
projet2-e,citadelles.bots,BotManager,43,153,10,12,7,26,7,11,2,5
projet2-e,citadelles.bots,MediumBot,29,357,24,56,5,71,20,37,0,17
projet2-e,citadelles.bots,RichardBot,5,873,9,165,1,153,9,96,0,18
projet2-e,citadelles.bots,StupidBot,8,242,9,27,4,60,9,26,0,17
